htid,title,author,year,source
mdp.39015000543895,Letters from a Lost Uncle,Mervyn Peake,1948,laure
uc1.$b87045,The Roaring Dove,Susan Kerby,1948,laure
uc1.b3710890,Message from a Stranger,Marya Mannes,1948,laure
uc1.$b106425,And Then You Came,Ann Bridge,1948,laure
uc1.c106423343,The Mabinogion,Gwyn Jones & Thomas Jones,1948,laure
mdp.39015013296119,Finn Family Moomintroll,Tove Jansson,1948,laure
inu.32000009095375,"Tory Heaven; or, Thunder on the Right",Marghanita Laski,1948,laure
mdp.39015019390270,Doctor Dolittle and the Secret Lake,Hugh Lofting,1948,laure
mdp.39015009281133,Pippi in the South Seas,Astrid Lindgren,1948,laure
uc1.b4097810,The Room Beyond,Robert Spencer Carr,1948,laure
cub.p101151507016,The Purple Twilight,Pelham Groom,1948,laure
umn.31951001632683h,There Was a Little Man,Guy Pearce Jones & Constance Bridges Jones,1948,laure
uc1.$b189553,By Invitation Only,Félicien Marceau,1948,laure
mdp.39015014190378,Concluding,Henry Green,1948,laure
mdp.39015028918608,Saint Glinglin,Raymond Queneau,1948,laure
uc1.$b87371,The Mask of Wisdom,Howard Clewes,1948,laure
cub.p101141902009,The Black Mirror,Winifred Duke,1948,laure
uc1.$b300231,Clovis,Michael Fessier,1948,laure
mdp.39015031233813,The Divine Passion,Vardis Fisher,1948,laure
wu.89099801847,The Invaders,Waldo Frank,1948,laure
osu.32435013683255,Dan Owen and the Angel Joe,Ronald Mitchell,1948,laure
uc1.b3121678,The Honor of Gaston Le Torch,Jacques Perret,1948,laure
wu.89099249492,A Warning from Mars,Edward Whiteside,1948,laure
wu.89098986482,Devil Take a Whittler,Weldon Stone,1948,laure
ppt.ssfcbz201808000252,A treasury of science fiction / edited by Groff Conklin,,1948,temple
uva.x000174628,What Mad Universe,Fredric Brown,1949,laure
mdp.39015066706428,Skylark of Valeron,E. E. 'Doc' Smith,1949,laure
mdp.39015015764106,Red Planet: A Colonial Boy on Mars,Robert A. Heinlein,1949,laure
uc1.32106009743425,Red Planet,Robert A. Heinlein,1949,laure
mdp.39015005356285,The Humanoids,Jack Williamson,1949,laure
mdp.39015009199327,Earth Abides,George R. Stewart,1949,laure
pst.000050237920,Farmer Giles of Ham,J. R. R. Tolkien,1949,laure
pst.000058048559,The Day After Tomorrow,Robert A. Heinlein,1949,laure
mdp.39015002306325,Nineteen Eighty-Four,George Orwell,1949,laure
uva.x006063309,1984,George Orwell,1949,laure
mdp.39076002001316,"Orwell's Nineteen Eighty-Four: Text, Sources, Criticism",George Orwell,1949,laure
uc1.$b86294,"Peace, My Daughters",Shirley Barker,1949,laure
uc1.$b236295,Here Today,John Coates,1949,laure
mdp.39015041365639,It Happens Every Spring,Valentine Davies,1949,laure
uva.x000380434,The Last Space Ship,Murray Leinster,1949,laure
nyp.33333080944677,Make-Believe,Elizabeth Goudge,1949,laure
uc1.b3295194,Opus 21,Philip Wylie,1949,laure
osu.32435053573424,The Big Eye,Max Ehrlich,1949,laure
mdp.39015030752052,A Spell for Old Bones,Eric Linklater,1949,laure
coo.31924022495430,The Eternal Conflict,"David H. Keller, M.D.",1949,laure
mdp.39015030728748,The Devil's Own Dear Son,James Branch Cabell,1949,laure
cub.p101171507001,The Winter Swan,Christopher Youd,1949,laure
umn.31951002017323w,The Dowry,Maggy Gould,1949,laure
umn.31951001997280t,Venus: The Lonely Goddess,John Erskine,1949,laure
uc1.$b56991,The Evening Wolves,Marie McCall,1949,laure
mdp.39015030719135,The Vintage,Anthony West,1949,laure
umn.31951002040911w,On a Dark Night,Anthony West,1949,laure
uc1.$b300142,The Liberation of Manhattan,Mark J. Appleman & Edmund DeMaitre,1949,laure
pst.000043598847,Bartholomew and the Oobleck,Dr. Seuss,1949,laure
uga1.32108004222470,Dwellers in the Temple of Mondama,Chris Herwer,1949,laure
uc1.b3144894,The Promise,Mildred Cram,1949,laure
uva.x002187050,The Black Cauldron,William Heinesen,1949,laure
mdp.39015030707759,The River Journey,Robert Nathan,1949,laure
uc1.$b244234,The Iron Hoop,Constantine FitzGibbon,1949,laure
uiug.30112045845085,Son of the Morning,Gilbert Frankau,1949,laure
uc1.31822010729341,The Laird and the Lady,Joan Grant,1949,laure
mdp.39015065132402,A Nail Merchant at Nightfall,Mika Waltari,1949,laure
uva.x030765462,Tea At Crumbo Castle,Magdalen King-Hall,1949,laure
mdp.39076001711857,The Fabulous Flight,Robert Lawson,1949,laure
uc1.$b243504,The Merry Miracle,Mary Mian,1949,laure
uc1.b4402185,Buddha's Return,Gaito Gazdanov,1949,laure
umn.31951002057391r,Proud Angela,Virginia Peckham,1949,laure
mdp.39076005047316,Gormenghast,Mervyn Peake,1950,laure
